Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM),Type,Fusion Strategy
$L_1$,$HDBSCAN$,0.01,0.606,0.154,0.262,0.421,0.19,0.382,0.039,0.147,0.151,0.144,540,0.172,0.40900000000000003,Non-dominated FMap,-
$L_1$,$HDBSCAN$,0.005,0.586,0.195,0.284,0.354,0.237,0.369,0.039,0.15,0.129,0.179,610,0.172,0.43399999999999994,Non-dominated FMap,-
$Cosine$,$One$,0.1,0.667,0.091,0.094,0.622,0.051,0.413,0.061,0.076,0.195,0.048,350,0.16,0.16999999999999998,Non-dominated FMap,-
$Cosine$,$One$,0.01,0.647,0.147,0.223,0.455,0.148,0.403,0.061,0.129,0.146,0.115,633,0.179,0.352,Non-dominated FMap,-
$Cosine$,$One$,0.005,0.631,0.149,0.243,0.37,0.181,0.397,0.062,0.139,0.131,0.148,723,0.178,0.382,Non-dominated FMap,-
$L_2$,$KMeans^{10}$,0.01,0.517,0.209,0.292,0.415,0.226,0.332,0.035,0.154,0.141,0.168,454,0.173,0.44599999999999995,Non-dominated FMap,-
$L_2$,$KMeans^{10}$,0.005,0.494,0.215,0.307,0.348,0.275,0.322,0.047,0.156,0.124,0.212,490,0.175,0.46299999999999997,Non-dominated FMap,-
$Cosine$,$KMeans^{10}$,0.01,0.518,0.209,0.292,0.415,0.226,0.332,0.035,0.154,0.141,0.168,454,0.173,0.44599999999999995,Non-dominated FMap,-
$Cosine$,$KMeans^{10}$,0.005,0.494,0.215,0.307,0.348,0.275,0.322,0.047,0.156,0.124,0.212,490,0.175,0.46299999999999997,Non-dominated FMap,-
$L_1$,$One$,0.1,0.665,0.091,0.103,0.637,0.056,0.411,0.061,0.077,0.189,0.048,349,0.164,0.18,Non-dominated FMap,-
$L_1$,$One$,0.05,0.66,0.091,0.137,0.576,0.078,0.41,0.061,0.106,0.198,0.072,430,0.166,0.243,Non-dominated FMap,-
$L_1$,$One$,0.005,0.62,0.153,0.259,0.372,0.199,0.389,0.039,0.143,0.131,0.157,695,0.177,0.402,Non-dominated FMap,-
$L_2$,$HDBSCAN$,0.005,0.59,0.193,0.275,0.362,0.221,0.371,0.041,0.149,0.131,0.173,632,0.175,0.42400000000000004,Non-dominated FMap,-
