Distance Metric,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
$L^{EUL}_1$,$HDBSCAN$,0.001,0.59,0.173,0.255,0.212,0.318,0.382,0.031,0.113,0.078,0.206,552,0.157,0.368
$L^{EUL}_2$,$HDBSCAN$,0.01,0.663,0.14,0.244,0.236,0.252,0.425,0.023,0.106,0.086,0.139,450,0.172,0.35
$L^{EUL}_2$,$HDBSCAN$,0.001,0.61,0.175,0.255,0.217,0.31,0.392,0.023,0.112,0.078,0.197,604,0.159,0.367
$L^{EUL}_1$,$KMeans$,0.005,0.632,0.141,0.247,0.229,0.269,0.4,0.024,0.117,0.09,0.168,465,0.166,0.364
$L^{EUL}_1$,$KMeans$,0.001,0.579,0.175,0.255,0.211,0.32,0.363,0.031,0.117,0.08,0.213,544,0.156,0.372
$L^{EUL}_2$,$One$,0.01,0.691,0.134,0.226,0.224,0.229,0.434,0.021,0.098,0.081,0.125,486,0.169,0.324
$L^{EUL}_2$,$One$,0.005,0.688,0.135,0.228,0.221,0.237,0.432,0.022,0.1,0.08,0.134,557,0.169,0.328
$L^{EUL}_1$,$One$,0.05,0.706,0.132,0.211,0.214,0.208,0.435,0.024,0.096,0.083,0.114,318,0.144,0.307
$L^{EUL}_1$,$One$,0.01,0.69,0.136,0.231,0.226,0.237,0.431,0.023,0.103,0.084,0.133,462,0.165,0.334
$L^{EUL}_1$,$One$,0.005,0.684,0.136,0.235,0.224,0.247,0.428,0.023,0.107,0.084,0.145,523,0.166,0.34199999999999997
$L^{EUL}_1$,$One$,0.001,0.651,0.144,0.246,0.214,0.289,0.416,0.023,0.113,0.081,0.188,635,0.149,0.359
$L^{EUL}_1$,$KMeans^{10}$,0.001,0.524,0.18,0.257,0.207,0.339,0.336,0.031,0.118,0.079,0.234,429,0.149,0.375
