Distance Metric,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM)
$Cosine^{SDR}$,$One$,0.01,0.517,0.236,0.365,0.524,0.279,0.334,0.042,0.161,0.187,0.141,203,0.107,0.526
$L^{SDR}_1$,$One$,0.01,0.655,0.091,0.16,0.55,0.094,0.412,0.026,0.093,0.156,0.066,440,0.162,0.253
$L^{SDR}_1$,$One$,0.005,0.643,0.139,0.178,0.495,0.109,0.41,0.026,0.105,0.149,0.082,500,0.16,0.283
$Cosine^{SDR}$,$KMeans^{10}$,0.15,0.551,0.171,0.293,0.76,0.182,0.368,0.045,0.11,0.234,0.072,114,0.079,0.40299999999999997
$Cosine^{SDR}$,$KMeans^{10}$,0.05,0.545,0.238,0.343,0.649,0.233,0.366,0.051,0.143,0.225,0.105,134,0.087,0.486
$Cosine^{SDR}$,$KMeans^{10}$,0.005,0.488,0.285,0.379,0.473,0.316,0.332,0.05,0.176,0.173,0.178,183,0.094,0.5549999999999999
$L^{SDR}_2$,$One$,0.01,0.675,0.091,0.132,0.594,0.074,0.43,0.015,0.083,0.155,0.057,464,0.165,0.21500000000000002
$L^{SDR}_2$,$One$,0.005,0.667,0.091,0.149,0.526,0.087,0.426,0.016,0.099,0.154,0.073,524,0.162,0.248
$L^{SDR}_2$,$One$,0.001,0.643,0.141,0.185,0.365,0.124,0.409,0.027,0.115,0.12,0.11,686,0.143,0.3
$L^{SDR}_1$,$HDBSCAN$,0.01,0.607,0.156,0.216,0.556,0.134,0.407,0.03,0.118,0.181,0.088,386,0.154,0.33399999999999996
$L^{SDR}_1$,$HDBSCAN$,0.005,0.588,0.155,0.241,0.511,0.158,0.4,0.046,0.132,0.17,0.107,428,0.149,0.373
