Method,Cluster Method,Confidence Threshold,mAP_(VOC_test),U-AP_(COOD),U-F1_(COOD),U-PRE_(COOD),U-REC_(COOD),mAP,U-AP_(CMIX),U-F1_(CMIX),U-PRE_(CMIX),U-REC_(CMIX),A-OSE,WI-08,U-F1_(SUM),Type,Fusion Strategy
$L_2$,$HDBSCAN$,0.001,0.497,0.197,0.278,0.317,0.248,0.326,0.036,0.149,0.121,0.194,574,0.145,0.42700000000000005,Non-dominated FMap,-
$Cosine$,$One$,0.05,0.66,0.091,0.061,0.616,0.032,0.417,0.03,0.052,0.158,0.031,356,0.159,0.11299999999999999,Non-dominated FMap,-
$Cosine$,$One$,0.01,0.62,0.091,0.125,0.504,0.071,0.41,0.023,0.092,0.158,0.065,521,0.174,0.217,Non-dominated FMap,-
$Cosine$,$One$,0.005,0.604,0.091,0.163,0.451,0.1,0.408,0.018,0.109,0.154,0.085,574,0.176,0.272,Non-dominated FMap,-
$Cosine$,$KMeans$,0.005,0.557,0.143,0.206,0.448,0.133,0.378,0.037,0.14,0.169,0.12,490,0.171,0.346,Non-dominated FMap,-
$L_1$,$KMeans^{10}$,0.001,0.402,0.247,0.315,0.316,0.313,0.263,0.051,0.158,0.117,0.242,423,0.14,0.473,Non-dominated FMap,-
$L_2$,$KMeans^{10}$,0.001,0.417,0.217,0.31,0.321,0.299,0.269,0.05,0.154,0.116,0.23,458,0.148,0.46399999999999997,Non-dominated FMap,-
$L_1$,$HDBSCAN$,0.01,0.561,0.143,0.19,0.516,0.116,0.389,0.039,0.135,0.192,0.104,426,0.168,0.325,Non-dominated FMap,-
$L_1$,$HDBSCAN$,0.005,0.542,0.154,0.239,0.455,0.162,0.375,0.04,0.152,0.179,0.132,458,0.164,0.391,Non-dominated FMap,-
$L_1$,$HDBSCAN$,0.001,0.465,0.208,0.295,0.32,0.275,0.322,0.05,0.154,0.122,0.207,544,0.145,0.44899999999999995,Non-dominated FMap,-
$L_2$,$One$,0.05,0.66,0.091,0.061,0.616,0.032,0.417,0.03,0.052,0.158,0.031,356,0.159,0.11299999999999999,Non-dominated FMap,-
$L_2$,$One$,0.01,0.619,0.091,0.125,0.504,0.071,0.41,0.023,0.092,0.158,0.065,521,0.174,0.217,Non-dominated FMap,-
$L_2$,$One$,0.005,0.604,0.091,0.163,0.451,0.1,0.408,0.018,0.109,0.154,0.085,574,0.176,0.272,Non-dominated FMap,-
$L_1$,$One$,0.15,0.652,0.091,0.033,0.651,0.017,0.423,0.03,0.039,0.169,0.022,250,0.139,0.07200000000000001,Non-dominated FMap,-
$L_1$,$One$,0.1,0.654,0.091,0.042,0.621,0.022,0.421,0.02,0.048,0.177,0.028,277,0.15,0.09,Non-dominated FMap,-
$L_1$,$One$,0.05,0.641,0.091,0.059,0.559,0.031,0.414,0.017,0.061,0.173,0.037,341,0.159,0.12,Non-dominated FMap,-
$L_1$,$One$,0.005,0.588,0.136,0.182,0.436,0.115,0.402,0.034,0.127,0.164,0.104,527,0.172,0.309,Non-dominated FMap,-
$L_1$,$One$,0.001,0.538,0.182,0.252,0.317,0.209,0.354,0.035,0.146,0.124,0.177,624,0.148,0.398,Non-dominated FMap,-
$L_2$,$KMeans$,0.005,0.555,0.143,0.203,0.446,0.132,0.382,0.037,0.14,0.169,0.12,490,0.171,0.343,Non-dominated FMap,-
$L_2$,$KMeans$,0.001,0.496,0.199,0.268,0.317,0.232,0.334,0.035,0.147,0.119,0.192,579,0.151,0.41500000000000004,Non-dominated FMap,-
$Cosine^{SDR}$,$HDBSCAN$,0.05,0.501,0.244,0.346,0.742,0.226,0.334,0.046,0.149,0.244,0.107,171,0.105,0.495,Non-dominated FMap,-
$Cosine^{SDR}$,$HDBSCAN$,0.01,0.461,0.299,0.406,0.589,0.31,0.32,0.043,0.2,0.219,0.185,212,0.113,0.6060000000000001,Non-dominated FMap,-
